"Dyntaxa-ID";"Svenskt namn";"Habitat";"Region(er)"
"227623";"";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"227615";"";"1170 Rev";"Atlantisk marin region (MATL)"
"227615";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227627";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227633";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227644";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227629";"";"1170 Rev";"Atlantisk marin region (MATL)"
"227646";"";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"227689";"";"1170 Rev";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"227487";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227496";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"227744";"";"1150 Laguner";"Boreal region (BOR); Kontinental region (CON)"
"227744";"";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"227852";"";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"100649";"strandsandjägare";"3210 Större vattendrag";"Boreal region (BOR)"
"103313";"skogssandjägare";"9060 Åsbarrskog";"Boreal region (BOR)"
"102261";"smal frölöpare";"2330 Grässandhedar";"Kontinental region (CON)"
"101050";"platt frölöpare";"6120 Sandstäpp";"Kontinental region (CON)"
"101053";"oval frölöpare";"2330 Grässandhedar";"Kontinental region (CON)"
"102163";"ljungkornlöpare";"2320 Rissandhedar";"Boreal region (BOR); Kontinental region (CON)"
"102306";"granbarkgnagare";"9010 Taiga";"Boreal region (BOR)"
"100517";"åttafläckig praktbagge";"9010 Taiga";"Boreal region (BOR)"
"101284";"sotpraktbagge";"9010 Taiga";"Boreal region (BOR)"
"105208";"blå praktbagge";"9060 Åsbarrskog";"Boreal region (BOR)"
"100823";"tallpraktbagge";"9010 Taiga";"Boreal region (BOR)"
"105077";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"105077";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"100526";"bronshjon";"9010 Taiga";"Boreal region (BOR)"
"101377";"stekelbock";"9010 Taiga";"Boreal region (BOR)"
"101920";"raggbock";"9010 Taiga";"Boreal region (BOR)"
"101920";"raggbock";"9060 Åsbarrskog";"Boreal region (BOR)"
"101410";"reliktbock";"9010 Taiga";"Boreal region (BOR)"
"101410";"reliktbock";"9060 Åsbarrskog";"Boreal region (BOR)"
"105336";"vanlig flatbagge";"9060 Åsbarrskog";"Boreal region (BOR)"
"100524";"skrovlig flatbagge";"9060 Åsbarrskog";"Boreal region (BOR)"
"106545";"mindre märgborre";"9060 Åsbarrskog";"Boreal region (BOR)"
"105027";"sandtordyvel";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"105028";"fälttordyvel";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102246";"vårtordyvel";"6270 Silikatgräsmarker";"Kontinental region (CON)"
"100859";"bokoxe";"9130 Näringsrik bokskog";"Boreal region (BOR); Kontinental region (CON)"
"100332";"likgul dyngbagge";"6270 Silikatgräsmarker";"Kontinental region (CON)"
